"X2022.04.16","X2022.04.17","ATL","BOS","PT2H29M","X248.60","X9","X947","DL","coach"
"2022-06-22","2022-07-12","ATL","SFO","PT7H30M",507.6,4,2332,"UA||UA","coach||coach"
"2022-06-30","2022-08-04","ATL","PHL","PT2H3M",172.6,9,667,"DL","coach"
"2022-05-22","2022-06-10","ATL","SFO","PT5H5M",418.61,2,2135,"DL","coach"
"2022-06-13","2022-07-19","ATL","MIA","PT12H57M",258.21,5,1866,"UA||UA","coach||coach"
"2022-06-20","2022-06-29","ATL","ORD","PT4H40M",191.1,5,820,"AA||AA","coach||coach"
"2022-04-30","2022-05-15","ATL","DFW","PT5H3M",278.6,9,924,"UA||UA","coach||coach"
"2022-05-02","2022-05-16","ATL","PHL","PT2H3M",190.59,0,NA,"NK","coach"
"2022-06-19","2022-06-28","ATL","EWR","PT2H8M",189.6,9,762,"DL","coach"
"2022-06-30","2022-08-06","ATL","OAK","PT8H16M",527.1,9,2305,"DL||DL||DL","coach||coach||coach"
"2022-06-17","2022-06-22","ATL","EWR","PT4H14M",191.1,5,773,"AA||AA","coach||coach"
"2022-05-01","2022-06-21","ATL","DFW","PT5H6M",438.6,8,924,"UA||UA","coach||coach"
"2022-05-27","2022-06-08","ATL","LAX","PT4H43M",738.6,9,1943,"DL","coach"
"2022-05-04","2022-05-06","ATL","DTW","PT8H17M",531.6,9,1718,"DL||DL","coach||coach"
"2022-05-12","2022-06-29","ATL","DFW","PT2H17M",202.6,10,725,"AA","coach"
"2022-07-06","2022-08-22","ATL","LAX","PT7H4M",357.6,3,1918,"AA||AA","coach||coach"
"2022-05-03","2022-06-29","ATL","MIA","PT6H2M",537.6,9,1649,"UA||UA","coach||coach"
"2022-07-09","2022-09-02","ATL","EWR","PT2H14M",228.6,9,762,"UA","coach"
"2022-05-03","2022-05-26","ATL","OAK","PT7H12M",657.6,2,2281,"DL||DL","coach||coach"
"2022-05-26","2022-06-06","ATL","LGA","PT6H41M",156.1,2,773,"AA||AA","coach||coach"
"2022-07-06","2022-07-10","ATL","IAD","PT4H58M",636.61,6,NA,"DL||DL","coach||coach"
"2022-06-24","2022-07-30","ATL","DFW","PT2H19M",244.6,7,725,"AA","coach"
"2022-05-22","2022-06-28","ATL","DEN","PT7H19M",438.59,9,NA,"UA||UA","coach||coach"
"2022-07-12","2022-08-22","ATL","CLT","PT1H18M",111.6,7,228,"AA","coach"
"2022-05-29","2022-07-13","ATL","LAX","PT4H45M",228.59,0,NA,"NK","coach"
"2022-07-05","2022-08-23","ATL","LAX","PT9H25M",186.58,0,NA,"NK||NK","coach||coach"
"2022-06-26","2022-08-02","ATL","MIA","PT7H20M",217.99,4,1683,"F9||F9","coach||coach"
"2022-07-06","2022-08-04","ATL","SFO","PT10H15M",503.6,7,2857,"AS||AS","coach||coach"
"2022-05-30","2022-07-11","ATL","DFW","PT2H26M",259.6,7,725,"AA","coach"
"2022-06-18","2022-07-27","ATL","OAK","PT13H50M",642.7,8,2412,"UA||UA||DL","coach||coach||coach"
"2022-06-08","2022-07-02","ATL","SFO","PT8H11M",370.6,4,2967,"UA||UA","coach||coach"
"2022-07-06","2022-07-15","ATL","EWR","PT5H39M",251.1,7,NA,"AA||AA","coach||coach"
"2022-04-27","2022-05-11","ATL","DFW","PT6H6M",347.61,6,1718,"AA||AA","coach||coach"
"2022-05-01","2022-05-18","ATL","SFO","PT14H3M",469.2,7,2236,"AA||AA","coach||coach"
"2022-06-12","2022-06-25","ATL","BOS","PT2H41M",398.6,9,947,"DL","coach"
"2022-04-22","2022-05-17","ATL","EWR","PT6H25M",197.6,7,1320,"AA||AA","coach||coach"
"2022-05-26","2022-07-17","ATL","CLT","PT1H12M",203.61,9,228,"DL","coach"
"2022-07-01","2022-07-08","ATL","DEN","PT6H13M",401.6,4,1503,"UA||UA","coach||coach"
"2022-07-11","2022-08-09","ATL","SFO","PT12H47M",321.7,9,2386,"DL||DL||DL","coach||coach||coach"
"2022-05-24","2022-06-03","ATL","IAD","PT12H25M",707.55,1,1139,"DL||9K||9K||UA","coach||coach||coach||coach"
"2022-04-28","2022-05-06","ATL","LAX","PT9H29M",345.78,0,NA,"NK||NK","coach||coach"
"2022-06-14","2022-08-03","ATL","OAK","PT9H24M",287.58,0,NA,"NK||NK","coach||coach"
"2022-07-02","2022-07-12","ATL","LAX","PT4H40M",498.6,9,1943,"DL","coach"
"2022-07-02","2022-08-19","ATL","DEN","PT3H13M",278.6,7,1207,"DL","coach"
"2022-06-03","2022-07-08","ATL","LGA","PT2H16M",268.6,6,762,"DL","coach"
"2022-05-31","2022-06-18","ATL","IAD","PT1H46M",151.6,9,541,"DL","coach"
"2022-05-24","2022-06-07","ATL","LAX","PT9H1M",253.59,0,NA,"NK||NK","coach||coach"
"2022-06-24","2022-07-21","ATL","DEN","PT11H42M",464.2,9,1567,"UA||UA","coach||coach"
"2022-05-14","2022-05-16","ATL","CLT","PT13H9M",259.7,2,1259,"AA||AA||AA","coach||coach||coach"
"2022-05-06","2022-05-14","ATL","DEN","PT7H33M",247.6,1,1375,"AA||AA","coach||coach"
"2022-05-23","2022-06-04","ATL","BOS","PT7H44M",302.21,7,947,"B6||B6","coach||coach"
"2022-05-13","2022-05-28","ATL","CLT","PT15H15M",357.2,6,NA,"UA||UA","coach||coach"
"2022-07-12","2022-08-09","ATL","BOS","PT4H54M",266.59,7,947,"B6||B6","coach||coach"
"2022-07-03","2022-08-31","ATL","DFW","PT2H15M",168.61,9,725,"DL","coach"
"2022-07-11","2022-09-09","ATL","DTW","PT7H31M",227.61,7,1569,"B6||B6","coach||coach"
"2022-04-29","2022-05-30","ATL","DTW","PT1H58M",293.61,9,604,"DL","coach"
"2022-05-03","2022-06-22","ATL","LGA","PT2H25M",228.6,9,762,"DL","coach"
"2022-06-05","2022-06-09","ATL","CLT","PT10H33M",366.7,2,981,"AA||AA||AA","coach||coach||coach"
"2022-06-16","2022-07-11","ATL","DFW","PT2H17M",244.6,2,725,"AA","coach"
"2022-07-12","2022-07-20","ATL","LGA","PT2H15M",258.6,9,762,"DL","coach"
"2022-05-08","2022-06-06","ATL","MIA","PT1H59M",343.6,7,596,"AA","coach"
"2022-06-10","2022-06-22","ATL","SFO","PT11H42M",501.6,2,3328,"UA||AS","coach||coach"
"2022-06-25","2022-08-13","ATL","JFK","PT8H50M",242.2,9,762,"DL||DL","coach||coach"
"2022-04-18","2022-05-13","ATL","EWR","PT2H13M",168.61,9,762,"DL","coach"
"2022-07-02","2022-08-10","ATL","PHL","PT8H1M",188.61,7,1227,"B6||B6","coach||coach"
"2022-05-01","2022-06-14","ATL","MIA","PT11H34M",237.19,7,1866,"B6||B6","coach||coach"
"2022-05-28","2022-06-26","ATL","DTW","PT5H54M",186.58,0,NA,"NK||NK","coach||coach"
"2022-05-22","2022-07-09","ATL","BOS","PT2H45M",383.97,7,947,"B6","coach"
"2022-07-02","2022-08-15","ATL","LGA","PT4H36M",77.6,9,762,"UA||UA","coach||coach"
"2022-04-23","2022-06-15","ATL","JFK","PT2H21M",278.6,8,762,"DL","coach"
"2022-07-11","2022-07-29","ATL","LAX","PT5H47M",601.61,9,1990,"DL||DL","coach||coach"
"2022-07-09","2022-07-11","ATL","PHL","PT2H17M",96.99,4,667,"F9","coach"
"2022-06-02","2022-07-26","ATL","SFO","PT5H3M",728.6,9,2135,"DL","coach"
"2022-05-03","2022-05-06","ATL","DTW","PT5H37M",398.6,2,1247,"UA||UA","coach||coach"
"2022-04-25","2022-05-16","ATL","PHL","PT4H22M",346.11,7,677,"AA||AA","coach||coach"
"2022-05-31","2022-06-02","ATL","SFO","PT5H10M",598.61,9,2135,"DL","coach"
"2022-06-13","2022-06-28","ATL","ORD","PT8H53M",211.6,5,1482,"DL||DL","coach||coach"
"2022-07-01","2022-08-25","ATL","LAX","PT14H38M",347.21,6,2836,"UA||UA","coach||coach"
"2022-06-23","2022-07-06","ATL","LAX","PT7H1M",457.6,9,2146,"DL||DL","coach||coach"
"2022-06-17","2022-07-18","ATL","LGA","PT6H34M",187.6,4,762,"UA||UA","coach||coach"
"2022-05-25","2022-06-16","ATL","BOS","PT10H47M",343.21,9,947,"UA||UA","coach||coach"
"2022-06-20","2022-08-07","ATL","BOS","PT4H19M",318.6,9,947,"UA||UA","coach||coach"
"2022-04-29","2022-06-01","ATL","PHL","PT2H",258.6,9,667,"DL","coach"
"2022-04-23","2022-05-09","ATL","IAD","PT1H46M",348.6,5,541,"DL","coach"
"2022-06-09","2022-07-16","ATL","LAX","PT8H35M",305.58,0,NA,"NK||NK","coach||coach"
"2022-05-22","2022-06-18","ATL","CLT","PT1H25M",148.6,7,228,"AA","coach"
"2022-05-18","2022-05-31","ATL","BOS","PT4H31M",318.6,8,NA,"UA||UA","coach||coach"
"2022-05-11","2022-05-19","ATL","BOS","PT4H18M",331.61,7,947,"B6||B6","coach||coach"
"2022-06-04","2022-07-03","ATL","LAX","PT8H56M",389.58,0,NA,"NK||NK","coach||coach"
"2022-07-07","2022-07-27","ATL","DEN","PT3H7M",378.6,9,1207,"DL","coach"
"2022-06-30","2022-08-11","ATL","DEN","PT5H15M",454.6,7,1375,"AA||AA","coach||coach"
"2022-05-06","2022-06-20","ATL","LAX","PT6H34M",658.6,7,1940,"AA||AA","coach||coach"
"2022-06-29","2022-07-09","ATL","JFK","PT8H21M",471.6,9,1320,"UA||DL","coach||coach"
"2022-06-27","2022-07-29","ATL","DFW","PT5H19M",252.1,7,1158,"AA||AA","coach||coach"
"2022-07-06","2022-07-14","ATL","DTW","PT8H28M",408.19,6,1402,"DL||DL","coach||coach"
"2022-06-19","2022-07-07","ATL","EWR","PT2H13M",189.6,9,762,"DL","coach"
"2022-06-15","2022-07-06","ATL","CLT","PT1H10M",148.6,7,228,"AA","coach"
"2022-04-22","2022-05-07","ATL","BOS","PT9H30M",302.2,7,947,"B6||B6","coach||coach"
"2022-06-16","2022-08-13","ATL","LGA","PT8H43M",258.2,5,906,"DL||DL","coach||coach"
"2022-06-30","2022-08-17","ATL","JFK","PT7H30M",187.6,7,1700,"AA||AA","coach||coach"
"2022-05-27","2022-07-24","ATL","JFK","PT2H22M",435.99,7,762,"AA","coach"
"2022-05-12","2022-06-21","ATL","LGA","PT4H12M",117.6,2,762,"AA||AA","coach||coach"
"2022-04-29","2022-05-24","ATL","MIA","PT6H32M",311.6,5,1866,"UA||UA","coach||coach"
"2022-05-08","2022-06-28","ATL","DEN","PT5H17M",453.1,2,1574,"AA||AA","coach||coach"
"2022-05-13","2022-05-24","ATL","LGA","PT3H41M",156.1,7,773,"AA||AA","coach||coach"
"2022-06-24","2022-06-28","ATL","LGA","PT8H53M",287.2,7,1132,"B6||B6","coach||coach"
"2022-06-16","2022-07-08","ATL","LAX","PT7H10M",506.1,7,2349,"AA||AA","coach||coach"
"2022-06-17","2022-08-04","ATL","LGA","PT8H25M",141.58,0,NA,"NK||NK","coach||coach"
"2022-06-04","2022-07-03","ATL","IAD","PT1H44M",218.6,4,541,"DL","coach"
"2022-04-19","2022-04-21","ATL","DTW","PT1H55M",498.6,9,604,"DL","coach"
"2022-07-09","2022-08-11","ATL","LAX","PT8H4M",317.6,7,1954,"AA||AA","coach||coach"
"2022-06-30","2022-08-29","ATL","LAX","PT4H33M",298.6,5,1943,"DL","coach"
"2022-07-09","2022-08-17","ATL","BOS","PT4H38M",451.6,9,947,"DL||DL","coach||coach"
"2022-06-21","2022-07-26","ATL","BOS","PT4H50M",306.59,7,947,"B6||B6","coach||coach"
"2022-05-02","2022-05-31","ATL","CLT","PT1H21M",228.6,7,228,"AA","coach"
"2022-06-09","2022-06-15","ATL","LAX","PT4H40M",498.6,9,1943,"DL","coach"
"2022-04-29","2022-06-23","ATL","LGA","PT2H16M",197.61,7,762,"B6","coach"
"2022-04-28","2022-06-12","ATL","IAD","PT4H19M",306.1,7,555,"AA||AA","coach||coach"
"2022-04-21","2022-06-10","ATL","DFW","PT2H18M",227.6,7,725,"AA","coach"
"2022-06-10","2022-07-15","ATL","LAX","PT13H21M",362.2,9,2047,"DL||DL","coach||coach"
"2022-06-16","2022-07-29","ATL","BOS","PT7H19M",299.1,9,947,"UA||UA||UA","coach||coach||coach"
"2022-05-19","2022-06-17","ATL","DFW","PT2H16M",298.6,9,725,"DL","coach"
"2022-07-01","2022-07-25","ATL","SFO","PT7H31M",611.6,9,2161,"UA||UA","coach||coach"
"2022-06-25","2022-08-08","ATL","DFW","PT2H14M",188.6,9,725,"DL","coach"
"2022-04-25","2022-05-14","ATL","ORD","PT2H10M",140.6,7,600,"AA","coach"
"2022-06-27","2022-07-13","ATL","OAK","PT10H48M",292.07,0,NA,"NK||NK||NK","coach||coach||coach"
